"set","instance","variation","incompatibilities","n","m","makespan.bkv","makespan.cplex","gap"
"taillard",23,"I",0,20,20,5960,17392.0407524,83.96311973
"taillard",23,"I",1,20,20,5959,7920.0021402,64.65263404
"taillard",23,"I",2,20,20,5962,10144.0041587,72.11984425
"taillard",24,"I",0,20,20,5561,7602.9993535,63.97383156
"taillard",24,"I",1,20,20,5602,9536.0013616,70.98918869
"taillard",24,"I",2,20,20,5633,9791.9962715,71.45611381
"taillard",25,"I",0,20,20,6050,11565.000832,76.35745235
"taillard",25,"I",1,20,20,6087,8538.0023064,67.30180895
"taillard",25,"I",2,20,20,6054,9995.9976265,71.94169375
"taillard",26,"I",0,20,20,5677,9230.9955483,70.62986832
"taillard",26,"I",1,20,20,5641,9663.0040667,71.18438482
"taillard",26,"I",2,20,20,5681,9986.0039992,71.22058033
"taillard",27,"I",0,20,20,5844,11063.0016592,75.10276375
"taillard",27,"I",1,20,20,5958,23252.9949669,88.03640146
"taillard",27,"I",2,20,20,5967,11133.0033202,74.82221787
"taillard",28,"I",0,20,20,5606,10184.0038213,72.94459164
"taillard",28,"I",1,20,20,5728,10060.0009524,71.95555979
"taillard",28,"I",2,20,20,5707,8590.0037966,66.94537204
"taillard",29,"I",0,20,20,5894,11103.9982525,74.88734968
"taillard",29,"I",1,20,20,5793,7668.0040592,62.9365864
"taillard",29,"I",2,20,20,5829,9490.9966835,69.97494806
"taillard",30,"I",0,20,20,5663,11330.9964113,76.80224831
"taillard",30,"I",1,20,20,5600,8845.9971083,69.91603009
"taillard",30,"I",2,20,20,5620,8120.0033058,66.59307634
"taillard",31,"I",0,50,5,7703,13859.9514309,90.53134178
"taillard",31,"I",1,50,5,7703,9981.996776,87.41888217
"taillard",31,"I",2,50,5,7703,10234.0040074,86.34108403
"taillard",32,"I",0,50,5,8132,10355.996151,87.61581086
"taillard",32,"I",1,50,5,8169,12693.9627331,89.62764614
"taillard",32,"I",2,50,5,8171,10568.0011121,86.94009305
"taillard",33,"I",0,50,5,7507,10304.0047909,87.11923356
"taillard",33,"I",1,50,5,7504,11378.0152563,88.52422653
"taillard",33,"I",2,50,5,7503,10503.0027464,88.0140682
"taillard",34,"I",0,50,5,7931,11028.996709,88.5998995
"taillard",34,"I",1,50,5,7931,12987.9656373,90.78404062
"taillard",34,"I",2,50,5,7931,17580.0470895,92.22330246
"taillard",35,"I",0,50,5,7941,11873.9619909,90.80204239
"taillard",35,"I",1,50,5,7941,10220.0044843,87.4639538
"taillard",35,"I",2,50,5,7941,12612.9911156,88.6665177
"taillard",36,"I",0,50,5,7853,11198.9952954,88.64670212
"taillard",36,"I",1,50,5,7856,14569.9674154,91.34474787
"taillard",36,"I",2,50,5,7853,9371.9950772,84.60322412
"taillard",37,"I",0,50,5,7858,10219.0031258,87.47017581
"taillard",37,"I",1,50,5,7858,9836.9953851,87.70116954
"taillard",37,"I",2,50,5,7997,10002.0004828,86.57828016
"taillard",38,"I",0,50,5,8234,13054.0083659,90.95137422
"taillard",38,"I",1,50,5,8255,10400.0044205,87.54025125
"taillard",38,"I",2,50,5,8257,10359.9952837,86.64289659
"taillard",39,"I",0,50,5,7621,12496.0316759,90.964078
"taillard",39,"I",1,50,5,7631,12772.9836802,91.31147657
"taillard",39,"I",2,50,5,7633,9888.00451,87.78353601
"taillard",40,"I",0,50,5,7754,11307.0281147,89.29667369
"taillard",40,"I",1,50,5,7754,10148.9986746,88.18042338
"taillard",40,"I",2,50,5,7770,15305.0302443,91.86391517
"taillard",41,"I",0,50,10,8407,36883.0444468,95.33730343
"taillard",41,"I",1,50,10,8469,NA,NA
"taillard",41,"I",2,50,10,8429,NA,NA
"taillard",42,"I",0,50,10,8170,24262.9819024,93.00876574
"taillard",42,"I",1,50,10,8172,NA,NA
"taillard",42,"I",2,50,10,8191,23094.9671405,92.47555916
"taillard",43,"I",0,50,10,8148,25968.0137526,93.24432831
"taillard",43,"I",1,50,10,8242,23841.0027353,92.64836821
"taillard",43,"I",2,50,10,8377,27275.0129229,93.42580358
"taillard",44,"I",0,50,10,8348,29062.0467064,94.04809054
"taillard",44,"I",1,50,10,8330,36323.010174,95.08518109
"taillard",44,"I",2,50,10,8398,19548.0344245,90.82191905
"taillard",45,"I",0,50,10,8697,NA,NA
"taillard",45,"I",1,50,10,8726,15473.0049997,88.15223675
"taillard",45,"I",2,50,10,8770,32613.0279478,94.19027282
"taillard",46,"I",0,50,10,8668,29636.9721619,93.89454445
"taillard",46,"I",1,50,10,8661,NA,NA
"taillard",46,"I",2,50,10,8694,19902.0093759,90.61346349
"taillard",47,"I",0,50,10,8661,22539.9635651,91.68160339
"taillard",47,"I",1,50,10,8721,18204.9916322,89.75120852
"taillard",47,"I",2,50,10,8713,31164.0046786,93.74822107
"taillard",48,"I",0,50,10,8472,35092.9609073,95.20427783
"taillard",48,"I",1,50,10,8438,30059.9576062,94.25562195
"taillard",48,"I",2,50,10,8471,NA,NA
"taillard",49,"I",0,50,10,8083,NA,NA
"taillard",49,"I",1,50,10,8045,NA,NA
"taillard",49,"I",2,50,10,8110,27687.0042275,93.6883593
"taillard",50,"I",0,50,10,8797,17752.9938934,89.70430619
"taillard",50,"I",1,50,10,8689,19092.9964208,90.20637526
"taillard",50,"I",2,50,10,8728,NA,NA
"taillard",51,"I",0,50,20,11649,NA,NA
"taillard",51,"I",1,50,20,11754,NA,NA
"taillard",51,"I",2,50,20,11657,NA,NA
"taillard",52,"I",0,50,20,11034,NA,NA
"taillard",52,"I",1,50,20,10963,NA,NA
"taillard",52,"I",2,50,20,11025,NA,NA
"taillard",53,"I",0,50,20,10930,NA,NA
"taillard",53,"I",1,50,20,10909,NA,NA
"taillard",53,"I",2,50,20,10949,NA,NA
"taillard",54,"I",0,50,20,11186,NA,NA
"taillard",54,"I",1,50,20,11167,NA,NA
"taillard",54,"I",2,50,20,11177,NA,NA
"taillard",55,"I",0,50,20,10901,NA,NA
"taillard",55,"I",1,50,20,10933,NA,NA
"taillard",55,"I",2,50,20,10968,NA,NA
"taillard",56,"I",0,50,20,10954,NA,NA
"taillard",56,"I",1,50,20,11009,NA,NA
"taillard",56,"I",2,50,20,10995,NA,NA
"taillard",57,"I",0,50,20,11015,NA,NA
"taillard",57,"I",1,50,20,11150,NA,NA
"taillard",57,"I",2,50,20,11165,NA,NA
"taillard",58,"I",0,50,20,11032,NA,NA
"taillard",58,"I",1,50,20,11043,NA,NA
"taillard",58,"I",2,50,20,10953,NA,NA
"taillard",59,"I",0,50,20,11226,NA,NA
"taillard",59,"I",1,50,20,11222,NA,NA
"taillard",59,"I",2,50,20,11209,NA,NA
"taillard",60,"I",0,50,20,11218,NA,NA
"taillard",60,"I",1,50,20,11364,NA,NA
"taillard",60,"I",2,50,20,11427,NA,NA
